threshold,precision,recall
0.004695476192547066,0.56,1.0
0.019193198309333526,0.5555555555555556,0.9821428571428571
0.020107546187493552,0.5510204081632653,0.9642857142857143
0.039187792254320675,0.5463917525773195,0.9464285714285714
0.06414749634878436,0.5416666666666666,0.9285714285714286
0.09394051075844168,0.5368421052631579,0.9107142857142857
0.09609840789396307,0.5319148936170213,0.8928571428571429
0.09710127579306127,0.5268817204301075,0.875
0.10022688731230112,0.532608695652174,0.875
0.10204481074802807,0.5384615384615384,0.875
0.11037514116430513,0.5444444444444444,0.875
0.11872771895424405,0.550561797752809,0.875
0.1201965612131689,0.5568181818181818,0.875
0.13179786240439217,0.5517241379310345,0.8571428571428571
0.13547406422245023,0.5581395348837209,0.8571428571428571
0.1381829513486138,0.5647058823529412,0.8571428571428571
0.15896958364551972,0.5595238095238095,0.8392857142857143
0.16130951788499626,0.5542168674698795,0.8214285714285714
0.18319136200711683,0.5487804878048781,0.8035714285714286
0.1965823616800535,0.5432098765432098,0.7857142857142857
0.2088767560948347,0.55,0.7857142857142857
0.2230816326406183,0.5443037974683544,0.7678571428571429
0.24442559200160274,0.5512820512820513,0.7678571428571429
0.24875314351995803,0.5454545454545454,0.75
0.2532916025397821,0.5394736842105263,0.7321428571428571
0.2653894909394454,0.5333333333333333,0.7142857142857143
0.27000797319216485,0.527027027027027,0.6964285714285714
0.2828069625764096,0.5205479452054794,0.6785714285714286
0.2894060929472011,0.5138888888888888,0.6607142857142857
0.29007760721044407,0.5070422535211268,0.6428571428571429
0.29614019752214493,0.5142857142857142,0.6428571428571429
0.29743695085513366,0.5072463768115942,0.625
0.29828232595603077,0.5147058823529411,0.625
0.30157481667454933,0.5074626865671642,0.6071428571428571
0.317983179393976,0.5151515151515151,0.6071428571428571
0.31856895245132366,0.5076923076923077,0.5892857142857143
0.36756187004789653,0.515625,0.5892857142857143
0.3687251706609641,0.5079365079365079,0.5714285714285714
0.39650574084698464,0.5161290322580645,0.5714285714285714
0.41426299451466997,0.5245901639344263,0.5714285714285714
0.4238550485581797,0.5333333333333333,0.5714285714285714
0.42876870094576613,0.5423728813559322,0.5714285714285714
0.43141843543397396,0.5344827586206896,0.5535714285714286
0.4358649252656268,0.543859649122807,0.5535714285714286
0.43860151346232035,0.5535714285714286,0.5535714285714286
0.44712537861762736,0.5454545454545454,0.5357142857142857
0.4663107728563063,0.5370370370370371,0.5178571428571429
0.4686512016477016,0.5283018867924528,0.5
0.5013243819267023,0.5192307692307693,0.48214285714285715
0.5232480534666997,0.5098039215686274,0.4642857142857143
0.5666014542065752,0.52,0.4642857142857143
0.5699649107012649,0.5102040816326531,0.44642857142857145
0.5701967704178796,0.5,0.42857142857142855
0.5722519057908734,0.5106382978723404,0.42857142857142855
0.5743252488495788,0.5217391304347826,0.42857142857142855
0.5759464955561793,0.5111111111111111,0.4107142857142857
0.5761573344178369,0.5,0.39285714285714285
0.5812728726358587,0.5116279069767442,0.39285714285714285
0.5865129348100832,0.5238095238095238,0.39285714285714285
0.5908727612481732,0.5121951219512195,0.375
0.592041931271839,0.5,0.35714285714285715
0.604845519745046,0.48717948717948717,0.3392857142857143
0.6063932141279244,0.5,0.3392857142857143
0.6180154289988415,0.4864864864864865,0.32142857142857145
0.6439901992296374,0.5,0.32142857142857145
0.6521032700016889,0.5142857142857142,0.32142857142857145
0.6531083254653984,0.5,0.30357142857142855
0.6532008198571336,0.48484848484848486,0.2857142857142857
0.6563295894652734,0.46875,0.26785714285714285
0.660173537492685,0.4838709677419355,0.26785714285714285
0.6674103799636817,0.4666666666666667,0.25
0.6778165367962301,0.4482758620689655,0.23214285714285715
0.6924721193700198,0.4642857142857143,0.23214285714285715
0.6925315900777659,0.48148148148148145,0.23214285714285715
0.6994792753175043,0.5,0.23214285714285715
0.7038885835403663,0.48,0.21428571428571427
0.7142412995491114,0.5,0.21428571428571427
0.7163272041185655,0.4782608695652174,0.19642857142857142
0.7252542798196405,0.45454545454545453,0.17857142857142858
0.7351940221225949,0.42857142857142855,0.16071428571428573
0.7392635793983017,0.4,0.14285714285714285
0.8061939890460857,0.42105263157894735,0.14285714285714285
0.8137978197024772,0.3888888888888889,0.125
0.8209932298479351,0.35294117647058826,0.10714285714285714
0.8289400292173631,0.375,0.10714285714285714
0.8379449074988039,0.4,0.10714285714285714
0.8464086724711278,0.42857142857142855,0.10714285714285714
0.8811031971111616,0.46153846153846156,0.10714285714285714
0.8817353618548528,0.5,0.10714285714285714
0.8919233550156721,0.5454545454545454,0.10714285714285714
0.896546595851063,0.6,0.10714285714285714
0.9194826137446735,0.5555555555555556,0.08928571428571429
0.9292961975762141,0.5,0.07142857142857142
0.952749011516985,0.5714285714285714,0.07142857142857142
0.9560836347232239,0.5,0.05357142857142857
0.9621885451174382,0.6,0.05357142857142857
0.9764594650133958,0.5,0.03571428571428571
0.9767610881903371,0.6666666666666666,0.03571428571428571
0.9883738380592262,0.5,0.017857142857142856
0.9988470065678665,0.0,0.0
