fpr,tpr,threshold
0.0,0.0,inf
0.022727272727272728,0.0,0.9988470065678665
0.022727272727272728,0.03571428571428571,0.9767610881903371
0.045454545454545456,0.03571428571428571,0.9764594650133958
0.045454545454545456,0.05357142857142857,0.9621885451174382
0.06818181818181818,0.05357142857142857,0.9560836347232239
0.06818181818181818,0.07142857142857142,0.952749011516985
0.09090909090909091,0.07142857142857142,0.9292961975762141
0.09090909090909091,0.10714285714285714,0.896546595851063
0.25,0.10714285714285714,0.8209932298479351
0.25,0.14285714285714285,0.8061939890460857
0.2727272727272727,0.14285714285714285,0.7392635793983017
0.2727272727272727,0.21428571428571427,0.7142412995491114
0.29545454545454547,0.21428571428571427,0.7038885835403663
0.29545454545454547,0.23214285714285715,0.6994792753175043
0.36363636363636365,0.23214285714285715,0.6778165367962301
0.36363636363636365,0.26785714285714285,0.660173537492685
0.38636363636363635,0.26785714285714285,0.6563295894652734
0.38636363636363635,0.32142857142857145,0.6521032700016889
0.4318181818181818,0.32142857142857145,0.6180154289988415
0.4318181818181818,0.3392857142857143,0.6063932141279244
0.45454545454545453,0.3392857142857143,0.604845519745046
0.45454545454545453,0.39285714285714285,0.5865129348100832
0.5,0.39285714285714285,0.5761573344178369
0.5,0.42857142857142855,0.5743252488495788
0.5454545454545454,0.42857142857142855,0.5701967704178796
0.5454545454545454,0.4642857142857143,0.5666014542065752
0.5681818181818182,0.4642857142857143,0.5232480534666997
0.5681818181818182,0.5535714285714286,0.43860151346232035
0.6136363636363636,0.5535714285714286,0.43141843543397396
0.6136363636363636,0.5714285714285714,0.42876870094576613
0.7045454545454546,0.5714285714285714,0.3687251706609641
0.7045454545454546,0.5892857142857143,0.36756187004789653
0.7272727272727273,0.5892857142857143,0.31856895245132366
0.7272727272727273,0.6071428571428571,0.317983179393976
0.75,0.6071428571428571,0.30157481667454933
0.75,0.625,0.29828232595603077
0.7727272727272727,0.625,0.29743695085513366
0.7727272727272727,0.6428571428571429,0.29614019752214493
0.7954545454545454,0.6428571428571429,0.29007760721044407
0.7954545454545454,0.7678571428571429,0.24442559200160274
0.8181818181818182,0.7678571428571429,0.2230816326406183
0.8181818181818182,0.7857142857142857,0.2088767560948347
0.8409090909090909,0.7857142857142857,0.1965823616800535
0.8409090909090909,0.8571428571428571,0.1381829513486138
0.8863636363636364,0.8571428571428571,0.13179786240439217
0.8863636363636364,0.875,0.1201965612131689
1.0,0.875,0.09710127579306127
1.0,1.0,0.004695476192547066
