precision,recall
0.56,1.0
0.5555555555555556,0.9821428571428571
0.5510204081632653,0.9642857142857143
0.5463917525773195,0.9464285714285714
0.5416666666666666,0.9285714285714286
0.5368421052631579,0.9107142857142857
0.5319148936170213,0.8928571428571429
0.5268817204301075,0.875
0.532608695652174,0.875
0.5384615384615384,0.875
0.5444444444444444,0.875
0.550561797752809,0.875
0.5568181818181818,0.875
0.5517241379310345,0.8571428571428571
0.5581395348837209,0.8571428571428571
0.5647058823529412,0.8571428571428571
0.5595238095238095,0.8392857142857143
0.5542168674698795,0.8214285714285714
0.5487804878048781,0.8035714285714286
0.5432098765432098,0.7857142857142857
0.55,0.7857142857142857
0.5443037974683544,0.7678571428571429
0.5512820512820513,0.7678571428571429
0.5454545454545454,0.75
0.5394736842105263,0.7321428571428571
0.5333333333333333,0.7142857142857143
0.527027027027027,0.6964285714285714
0.5205479452054794,0.6785714285714286
0.5138888888888888,0.6607142857142857
0.5070422535211268,0.6428571428571429
0.5142857142857142,0.6428571428571429
0.5072463768115942,0.625
0.5147058823529411,0.625
0.5074626865671642,0.6071428571428571
0.5151515151515151,0.6071428571428571
0.5076923076923077,0.5892857142857143
0.515625,0.5892857142857143
0.5079365079365079,0.5714285714285714
0.5161290322580645,0.5714285714285714
0.5245901639344263,0.5714285714285714
0.5333333333333333,0.5714285714285714
0.5423728813559322,0.5714285714285714
0.5344827586206896,0.5535714285714286
0.543859649122807,0.5535714285714286
0.5535714285714286,0.5535714285714286
0.5454545454545454,0.5357142857142857
0.5370370370370371,0.5178571428571429
0.5283018867924528,0.5
0.5192307692307693,0.48214285714285715
0.5098039215686274,0.4642857142857143
0.52,0.4642857142857143
0.5102040816326531,0.44642857142857145
0.5,0.42857142857142855
0.5106382978723404,0.42857142857142855
0.5217391304347826,0.42857142857142855
0.5111111111111111,0.4107142857142857
0.5,0.39285714285714285
0.5116279069767442,0.39285714285714285
0.5238095238095238,0.39285714285714285
0.5121951219512195,0.375
0.5,0.35714285714285715
0.48717948717948717,0.3392857142857143
0.5,0.3392857142857143
0.4864864864864865,0.32142857142857145
0.5,0.32142857142857145
0.5142857142857142,0.32142857142857145
0.5,0.30357142857142855
0.48484848484848486,0.2857142857142857
0.46875,0.26785714285714285
0.4838709677419355,0.26785714285714285
0.4666666666666667,0.25
0.4482758620689655,0.23214285714285715
0.4642857142857143,0.23214285714285715
0.48148148148148145,0.23214285714285715
0.5,0.23214285714285715
0.48,0.21428571428571427
0.5,0.21428571428571427
0.4782608695652174,0.19642857142857142
0.45454545454545453,0.17857142857142858
0.42857142857142855,0.16071428571428573
0.4,0.14285714285714285
0.42105263157894735,0.14285714285714285
0.3888888888888889,0.125
0.35294117647058826,0.10714285714285714
0.375,0.10714285714285714
0.4,0.10714285714285714
0.42857142857142855,0.10714285714285714
0.46153846153846156,0.10714285714285714
0.5,0.10714285714285714
0.5454545454545454,0.10714285714285714
0.6,0.10714285714285714
0.5555555555555556,0.08928571428571429
0.5,0.07142857142857142
0.5714285714285714,0.07142857142857142
0.5,0.05357142857142857
0.6,0.05357142857142857
0.5,0.03571428571428571
0.6666666666666666,0.03571428571428571
0.5,0.017857142857142856
0.0,0.0
1.0,0.0
